source,user,timestamp,information
Github,Jianing Fu,2021-01-04T03:50:30Z,Merge pull request #87 from GeorgiaTechDHLab/playfair-fixadd hover over
Github,Jianing Fu,2021-01-04T03:50:16Z,Merge branch 'master' into playfair-fix
Github,Jianing Fu,2021-01-04T03:49:03Z,add hover over
Github,Lauren Klein,2021-01-04T03:33:50Z,Tweak caption of covid/income/women vis
Github,Jianing Fu,2021-01-03T22:29:06Z,Merge pull request #86 from GeorgiaTechDHLab/playfair-fixminor fix
Github,Jianing Fu,2021-01-03T22:28:30Z,minor fix
Github,Dan Jutan,2021-01-03T04:51:07Z,fix priestly -> priestley
Github,Dan Jutan,2021-01-03T04:45:12Z,begin removing unused files
Github,Dan Jutan,2021-01-03T04:23:22Z,"fix reduntant ""lines of exports"""
Github,Jianing Fu,2021-01-03T03:35:09Z,Merge pull request #85 from GeorgiaTechDHLab/homepage-fixpicline fix
Github,Jianing Fu,2021-01-03T03:34:38Z,picline fix
Github,Lauren Klein,2021-01-03T03:26:27Z,Updated peabody chapter router link
Github,Lauren Klein,2021-01-03T03:04:38Z,Merge pull request #84 from GeorgiaTechDHLab/dxd-textReplaced thumbnails in timeilne; updated chapter titles throughout
Github,Lauren Klein,2021-01-03T03:04:02Z,Replaced thumbnails in timeilne; updated chapter titles throughout
Github,Lauren Klein,2021-01-01T20:41:45Z,Merge pull request #83 from GeorgiaTechDHLab/dxd-textA few more text/image/caption additions to the Peabody and Playfair c…
Github,Lauren Klein,2021-01-01T20:41:36Z,Merge branch 'master' into dxd-text
Github,Lauren Klein,2021-01-01T20:37:42Z,A few more text/image/caption additions to the Peabody and Playfair chapters.
Github,Jianing Fu,2020-12-31T22:58:34Z,Merge pull request #82 from GeorgiaTechDHLab/playfair_fixplayfair vis fix
Github,Jianing Fu,2020-12-31T22:57:46Z,playfair vis fix
Github,Dan Jutan,2020-12-31T20:30:22Z,Merge pull request #81 from GeorgiaTechDHLab/modularize-docs-integrationModularize docs integration & fix image issues
Github,Dan Jutan,2020-12-31T20:27:56Z,DocRenderer in its own repo; CaptionedImage registers on the timeline as image; ChapterScaffold manages DocRenderer props
Github,Dan Jutan,2020-12-31T19:31:54Z,fix img filename discrepancy
Github,Lauren Klein,2020-12-31T15:23:06Z,Merge pull request #80 from GeorgiaTechDHLab/dxd-textUpdated Playfair chapter w/ captions and images; removed unused components. Also tweaked the labels of some of the new visualizations.
Github,Lauren Klein,2020-12-31T05:23:20Z,Changed some label text and tweaked the label layout
Github,Lauren Klein,2020-12-31T05:22:58Z,Updated Playfair vis with final (?) images and captions; removed unused components
Github,Lauren Klein,2020-12-31T03:21:23Z,Merge pull request #79 from GeorgiaTechDHLab/dxd-textFixed typo in legend and renamed items in key
Github,Lauren Klein,2020-12-31T03:21:13Z,Merge branch 'master' into dxd-text
Github,Lauren Klein,2020-12-31T03:07:43Z,Fixed typo in legend and renamed items in key
Github,Dan Jutan,2020-12-29T03:55:26Z,Update README.md
Github,Jianing Fu,2020-12-28T22:09:59Z,Merge pull request #78 from GeorgiaTechDHLab/timeline-fixfix homepage timeline hover layers
Github,Jianing Fu,2020-12-28T22:09:21Z,fix homepage timeline hover layers
Github,Dan Jutan,2020-12-28T00:17:03Z,remove notebooktypes console log
Github,Dan Jutan,2020-12-28T00:05:31Z,playfair navline integration. extract common functionality into navlinemixin.js
Github,Lauren Klein,2020-12-26T03:25:56Z,Merge pull request #77 from GeorgiaTechDHLab/dxd-textAdded images for Playfair and Peabody chapters
Github,Lauren Klein,2020-12-26T03:25:15Z,Added one more Playfair image
Github,Lauren Klein,2020-12-26T03:23:19Z,Adding images for Playfair and Peabody chapters; thumbnails for main timeline
Github,Dan Jutan,2020-12-25T16:09:22Z,captioned image width fix
Github,Dan Jutan,2020-12-25T15:48:44Z,Merge branch 'master' of https://github.com/GeorgiaTechDHLab/DataByDesign
Github,Dan Jutan,2020-12-25T15:48:30Z,captionedimage component
Github,Dan Jutan,2020-12-25T15:46:34Z,captionedimage component
Github,Dan Jutan,2020-12-25T15:32:00Z,blockquote component
Github,Dan Jutan,2020-12-25T01:14:42Z,footnotes load from doc
Github,Jianing Fu,2020-12-24T22:31:07Z,Merge pull request #76 from GeorgiaTechDHLab/playfair-covid-vissecond version
Github,Jianing Fu,2020-12-24T22:28:07Z,second version
Github,Jianing Fu,2020-12-24T22:03:02Z,Merge pull request #75 from GeorgiaTechDHLab/playfair-covid-visadjust coxcomb
Github,Jianing Fu,2020-12-24T22:02:31Z,adjust coxcomb
Github,Jianing Fu,2020-12-23T23:49:05Z,"Merge pull request #74 from GeorgiaTechDHLab/playfair-covid-visadd coxcomb, add dataSelection for covid, women, income"
Github,Jianing Fu,2020-12-23T23:48:37Z,"add coxcomb, add dataSelection for covid, women, income"
Github,Dan Jutan,2020-12-23T02:53:50Z,Merge branch 'master' of https://github.com/GeorgiaTechDHLab/DataByDesign
Github,Dan Jutan,2020-12-23T02:53:32Z,add script and mode-specific .env file to run remote server
Github,Jianing Fu,2020-12-23T01:13:18Z,Merge pull request #73 from GeorgiaTechDHLab/playfair-covid-visPlayfair covid vis
Github,Jianing Fu,2020-12-23T01:12:25Z,added vis
Github,Jianing Fu,2020-12-22T22:13:13Z,add more datasets
Github,Dan Jutan,2020-12-22T22:07:33Z,templates done
Github,Dan Jutan,2020-12-22T16:55:04Z,add prod script
Github,Dan Jutan,2020-12-22T14:17:15Z,fix and clealeanup playfair Vue options (was previously a copy of Peabody)
Github,Dan Jutan,2020-12-22T02:59:07Z,don't show title header for the introduction section
Github,Dan Jutan,2020-12-22T02:48:00Z,Merge pull request #72 from GeorgiaTechDHLab/peabody-docsFull docs integration for Peabody
Github,Dan Jutan,2020-12-22T02:40:23Z,proper subsection tracking
Github,Dan Jutan,2020-12-22T02:03:27Z,don't render empty paragraphs
Github,Jianing Fu,2020-12-22T00:27:00Z,"Merge pull request #71 from GeorgiaTechDHLab/playfair-covid-viscomplete covid data, bug fix, add router link to playfair chapter"
